Nombre de la actividad,Descripción
Carrera Corta de Relevos Estratégicos,"Carrera de velocidad en distancias cortas por equipos. Para poder entregar el testimonio (como un lápiz), el alumno debe resolver una operación matemática mental rápida dictada por el juez."
Búsqueda del Tesoro con Acertijos,Los equipos se desplazan caminando rápido buscando notas de papel ocultas. Cada nota contiene un acertijo lógico que descifra la ubicación de la siguiente pista.
Gato (Tic-Tac-Toe) Humano en Velocidad,"Se dibuja un tablero de gato gigante en el suelo con tiza. Los alumnos corren en relevos para colocar una prenda o pañuelo de su color, compitiendo por armar la línea de tres usando estrategia visual rápida."
El Teléfono Descompuesto Motoriz,"Los alumnos se forman en filas. El primero realiza una secuencia de movimientos corporales específicos; el siguiente debe correr a verla, memorizarla y replicarla al siguiente compañero sin hablar."
Ajedrez Humano con Retos Lógicos,"Un tablero gigante dibujado con tiza donde los alumnos son las piezas. Se mueven rápido según las órdenes de su capitán, quien debe resolver acertijos mentales para ganar el derecho a mover a sus compañeros."
Rally de Respuestas y Saltos,"El piso se marca con números o letras con tiza. El coordinador lanza una pregunta de cultura general o lógica, y el alumno debe saltar rápidamente sobre la respuesta correcta antes de que se agote el tiempo."
Stop! de Estimación Espacial,"El clásico juego de 'Declaro la guerra'. Al grito de 'Stop', todos se detienen y el jugador central debe calcular mentalmente y declarar los pasos exactos necesarios para llegar a un compañero."
Camino a Ciegas con Coordenadas,"Un alumno con los ojos vendados atraviesa un pasillo libre guiado únicamente por las instrucciones lógicas de dirección (ej. 'tres pasos al norte, dos giros de 90 grados') que grita su equipo."
"Piedra, Papel o Tijera en Relevo Veloz","Dos equipos corren sobre una línea pintada desde extremos opuestos. Al encontrarse de frente, juegan una ronda rápida de piedra, papel o tijera. El ganador sigue avanzando y el perdedor cede el turno a su relevo."
Cazadores de Patrones de Memoria,"Se coloca una secuencia de útiles escolares (mochilas, lapiceros) al final de la cancha. Los alumnos corren a observarla por 10 segundos, regresan y deben replicar de memoria el patrón exacto con sus propias cosas."
El Nudo Humano Matemático,"Los alumnos se toman de las manos de forma aleatoria creando un nudo humano. Sin soltarse, deben moverse, agacharse y pasar unos sobre otros resolviendo mentalmente el orden correcto para desenredarse."
Espejo Invertido en Carrera,"En parejas, uno avanza realizando movimientos físicos libres y el otro debe seguirlo corriendo de espaldas imitando de forma invertida cada acción, lo que requiere un alto control motriz y reflejos mentales."
Desafío de Esculturas Express con Hojas Recicladas,"En equipos, los alumnos arrugan, doblan y unen hojas de papel viejo con cinta en 5 minutos para recrear una figura en 3D basada en un concepto sorpresa, teniendo luego que vender su idea de forma divertida."
Cadáver Exquisito de Dibujo Colectivo,"Cada alumno dibuja una parte de un personaje (cabeza, torso o piernas) doblando el papel para que el siguiente no vea lo anterior. Al desdoblarlo se descubren personajes abstractos y muy divertidos."
Campeonato de Origami de Velocidad,"Los alumnos descifran un plano de dobleces simples en el pizarrón para armar figuras de papel (como ranas o aviones) en un tiempo límite, cerrando con una pequeña prueba de vuelo o salto."
Letreros Creativos y Títulos Locos,"Reto de diseño manual donde los equipos dibujan y decoran una frase divertida usando técnicas de lettering, sombras y combinaciones de colores llamativos con sus propios plumones."
Construcción de la Torre de Útiles Escolares,"Desafío de destreza manual e ingeniería donde los alumnos deben equilibrar lapiceros, gomas y cuadernos para construir la torre más alta posible sobre la banca sin que se caiga."
